pickup_id,avg_weekday_trips,avg_weekend_trips,diff,percent_change,trend_category
205,12.3,9,-3.3,-26.6,平日増加
138,6262.2,4563.3,-1698.8,-27.1,平日増加
13,2146,1553.8,-592.2,-27.6,平日増加
170,7557.1,5462.7,-2094.4,-27.7,平日増加
233,3194.1,2304.2,-889.9,-27.9,平日増加
73,1.1,0.8,-0.3,-27.9,平日増加
52,123.6,88,-35.5,-28.8,平日増加
185,5,3.5,-1.5,-29.3,平日増加
67,3.9,2.8,-1.2,-29.7,平日増加
227,5.4,3.8,-1.6,-30.2,平日増加
22,8,5.5,-2.4,-30.5,平日増加
88,931.4,641.3,-290.1,-31.1,平日増加
139,4.5,3.1,-1.4,-31.9,平日増加
175,2.7,1.8,-0.9,-32,平日増加
14,15.9,10.8,-5.2,-32.4,平日増加
192,3.4,2.3,-1.1,-32.8,平日増加
210,7.7,5.1,-2.6,-33.7,平日増加
236,9781.3,6477.7,-3303.6,-33.8,平日増加
53,3.3,2.2,-1.1,-34.7,平日増加
15,2.9,1.9,-1,-34.8,平日増加
16,4.6,3,-1.6,-34.9,平日増加
237,10893.5,6964.8,-3928.6,-36.1,平日増加
29,4.4,2.8,-1.6,-36.8,平日増加
174,6.9,4.3,-2.5,-36.9,平日増加
155,9.2,5.7,-3.4,-37.3,平日増加
124,6,3.6,-2.3,-39.2,平日増加
86,3.3,2,-1.3,-39.4,平日増加
21,6.4,3.9,-2.5,-39.4,平日増加
98,3.2,1.9,-1.2,-39.5,平日増加
121,6.6,4,-2.6,-39.6,平日増加
9,2.9,1.7,-1.2,-40.2,平日増加
101,3.5,2.1,-1.4,-40.5,平日増加
161,10474.2,6177.2,-4297,-41,平日増加
140,4562.9,2645.5,-1917.4,-42,平日増加
162,9280.3,5378.5,-3901.8,-42,平日増加
99,0.1,0,0,-43.2,平日増加
11,3.1,1.7,-1.4,-43.7,平日増加
108,3.3,1.8,-1.4,-44.2,平日増加
214,0.3,0.2,-0.1,-44.8,平日増加
165,11.3,6.2,-5.1,-45.3,平日増加
178,3.2,1.8,-1.5,-45.5,平日増加
242,10.6,5.6,-4.9,-46.5,平日増加
26,14.3,7.4,-6.9,-48.4,平日増加
123,7.8,3.9,-3.9,-50.1,平日増加
149,6.8,3.4,-3.5,-50.7,平日増加
150,3.3,1.5,-1.8,-54.8,平日増加
199,0,0,0,-79.2,平日増加
